IDKhachHang,GioiTinh,Tuoi,ThuNuapHangNam,DiemChiTieu
1,Nam,19,15,39
2,Nu,21,15,81
3,Nu,20,16,6
4,Nu,23,16,77
5,Nu,31,17,40
6,Nu,22,17,76
7,Nu,35,18,6
8,Nam,23,18,94
9,Nu,64,19,3
10,Nam,30,19,72
11,Nu,67,19,14
12,Nu,35,19,99
13,Nu,58,20,15
14,Nam,24,20,77
15,Nam,37,20,13
16,Nu,22,20,79
17,Nam,35,21,35
18,Nam,20,21,66
19,Nu,52,23,29
20,Nam,35,23,98
21,Nam,35,24,35
22,Nu,25,24,73
23,Nam,46,25,5
24,Nu,31,25,73
25,Nam,54,28,14
26,Nu,29,28,61
27,Nam,45,28,32
28,Nu,35,28,61
29,Nu,40,29,31
30,Nam,23,29,87
31,Nu,60,30,4
32,Nam,21,30,73
33,Nam,53,33,4
34,Nu,18,33,92
35,Nu,49,33,14
36,Nu,21,33,81
37,Nu,42,34,17
38,Nu,30,34,73
39,Nu,36,37,26
40,Nu,20,37,75
41,Nam,65,38,35
42,Nam,24,38,92
43,Nu,48,39,36
44,Nu,31,39,61
45,Nu,49,39,28
46,Nu,24,39,65
47,Nu,50,40,55
48,Nu,27,40,47
49,Nu,29,40,42
50,Nu,31,40,42
51,Nam,49,42,52
52,Nu,33,42,60
53,Nam,31,43,54
54,Nu,59,43,60
55,Nam,50,43,45
56,Nu,47,43,41
57,Nam,51,44,50
58,Nu,69,44,46
59,Nam,27,46,51
60,Nam,53,46,46
61,Nam,70,46,56
62,Nu,19,46,55
63,Nu,67,47,52
64,Nam,54,47,59
65,Nam,63,48,51
66,Nu,18,48,59
67,Nu,43,48,50
68,Nam,68,48,48
69,Nu,19,48,59
70,Nam,32,48,47
71,Nu,70,49,55
72,Nu,47,49,42
73,Nu,60,50,49
74,Nam,60,50,56
75,Nam,59,54,47
76,Nu,26,54,54
77,Nam,45,54,53
78,Nu,40,54,48
79,Nu,23,54,52
80,Nam,49,54,42
81,Nam,57,54,51
82,Nam,38,54,55
83,Nu,67,54,41
84,Nu,46,54,44
85,Nam,21,54,57
86,Nu,48,54,46
87,Nu,55,57,58
88,Nu,22,57,55
89,Nu,34,58,60
90,Nu,50,58,56
91,Nam,68,59,55
92,Nam,18,59,41
93,Nu,48,60,49
94,Nu,40,60,40
95,Nam,32,60,42
96,Nu,24,60,52
97,Nu,47,60,47
98,Nam,27,60,50
99,Nam,48,61,42
100,Nu,20,61,49
101,Nu,23,62,41
102,Nam,49,62,48
103,Nam,67,62,59
104,Nam,26,62,55
105,Nu,49,62,56
106,Nu,21,62,42
107,Nam,66,63,50
108,Nam,54,63,56
109,Nam,68,63,53
110,Nam,66,63,48
111,Nu,65,63,52
112,Nu,19,63,54
113,Nam,38,64,42
114,Nu,19,64,46
115,Nu,18,65,48
116,Nu,19,65,50
117,Nu,63,65,43
118,Nu,49,65,59
119,Nu,51,67,43
120,Nam,50,67,57
121,Nu,27,67,56
122,Nu,38,67,40
123,Nam,40,69,58
124,Nu,39,69,91
125,Nu,23,70,29
126,Nam,31,70,77
127,Nam,43,71,35
128,Nam,40,71,95
129,Nam,59,71,11
130,Nam,38,71,75
131,Nam,47,71,9
132,Nu,39,71,75
133,Nu,25,72,34
134,Nam,31,72,71
135,Nu,20,73,5
136,Nu,29,73,88
137,Nam,44,73,7
138,Nam,32,73,73
139,Nu,19,74,10
140,Nu,35,74,72
141,Nam,57,75,5
142,Nu,32,75,93
143,Nu,28,76,40
144,Nam,32,76,87
145,Nam,25,77,12
146,Nam,28,77,97
147,Nu,48,77,36
148,Nu,32,77,74
149,Nam,34,78,22
150,Nam,34,78,90
151,Nam,43,78,17
152,Nu,39,78,88
153,Nu,44,78,20
154,Nu,38,78,76
155,Nu,47,78,16
156,Nam,27,78,89
157,Nu,37,78,1
158,Nam,30,78,78
159,Nu,34,78,1
160,Nu,30,78,73
161,Nu,56,79,35
162,Nam,29,79,83
163,Nu,19,81,5
164,Nam,31,81,93
165,Nu,50,85,26
166,Nam,36,85,75
167,Nu,42,86,20
168,Nu,33,86,95
169,Nam,36,87,27
170,Nam,32,87,63
171,Nam,40,87,13
172,Nam,28,87,75
173,Nam,36,87,10
174,Nu,36,87,92
175,Nu,52,88,13
176,Nam,30,88,86
177,Nam,28,88,15
178,Nam,57,88,69
179,Nam,59,93,14
180,Nu,35,93,90
181,Nu,37,97,32
182,Nam,32,97,86
183,Nu,46,98,15
184,Nu,29,98,88
185,Nam,41,99,39
186,Nu,30,99,97
187,Nam,54,101,24
188,Nu,28,101,68
189,Nu,41,103,17
190,Nu,36,103,85
191,Nu,34,103,23
192,Nam,32,103,69
193,Nu,33,113,8
194,Nu,38,113,91
195,Nu,47,120,16
196,Nu,35,120,79
197,Nam,45,126,28
198,Nam,32,126,74
199,Nam,32,137,18
200,Nam,30,137,83
